지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm)
108,서울,2018-02-19,1.8,-1.9,347,6.8,1526,,,,,,
108,서울,2018-02-20,.9,-2.4,646,5.5,1445,,,,,,
108,서울,2018-02-21,-.9,-4.5,814,4.4,1503,,,,,,
108,서울,2018-02-22,1.3,-3.9,725,5.4,1212,.67,,,,,.4
108,서울,2018-02-23,4.2,-.3,730,8.6,1431,2.75,,,,,3.7
108,서울,2018-02-24,2.4,-1.1,2359,7.2,1446,,,,,,
108,서울,2018-02-25,1.9,-1.6,213,7.9,1515,,,,,,
108,서울,2018-02-26,3.1,-3.2,714,10.4,1516,,,,,,
108,서울,2018-02-27,4.2,.6,450,6.9,1554,,,,,,
108,서울,2018-02-28,4.6,1.8,2246,7.8,1230,11.25,,,,,25
108,서울,2018-03-01,-.2,-4.3,2341,3,547,4.25,,,,,.5
108,서울,2018-03-02,-.7,-6.7,625,5.4,1608,,,,,,
108,서울,2018-03-03,7.9,-.1,725,16.2,1515,1.17,,,,,0
108,서울,2018-03-04,9.8,7.6,2359,11.9,1627,13.75,,,,,11.5
108,서울,2018-03-05,5.5,1.3,2353,11.4,1622,9.92,,,,,3.5
108,서울,2018-03-06,4.5,-1.1,625,10.9,1546,,,,,,
108,서울,2018-03-07,6.4,2.2,650,10.7,1614,3.5,,,,,.5
108,서울,2018-03-08,4.6,2.7,2216,9.7,1558,10.25,,,,,4
108,서울,2018-03-09,4.5,1.4,720,9.6,1600,,,,,,
108,서울,2018-03-10,4.6,.7,708,9.7,1406,,,,,,
108,서울,2018-03-11,6.4,2.7,731,12.2,1537,,,,,,
108,서울,2018-03-12,8,2.2,248,15.5,1455,,,,,,
108,서울,2018-03-13,12.4,5.2,224,18.8,1423,,,,,,
108,서울,2018-03-14,17,13.6,1,22.1,1505,,,,,,
108,서울,2018-03-15,12.4,8.4,2356,16.6,247,13.5,,,,,27
108,서울,2018-03-16,7.1,3.6,710,12.2,1520,,,,,,
108,서울,2018-03-17,6.6,.5,657,14,1543,,,,,,
108,서울,2018-03-18,8.2,5.4,301,12.5,1542,7.42,,,,,.5
108,서울,2018-03-19,8,6.2,419,10.4,1117,13.5,,,,,1
108,서울,2018-03-20,4.7,1.6,2335,9.1,1158,,,,,,
108,서울,2018-03-21,2.1,1.1,2033,5.3,1120,8.33,,,,,1
108,서울,2018-03-22,4.9,.6,637,11.6,1410,,,,,,
108,서울,2018-03-23,6.1,1.8,239,12.5,1407,,,,,,
108,서울,2018-03-24,7.6,4,640,13.1,1416,,,,,,
108,서울,2018-03-25,9.6,4.6,555,16.9,1447,,,,,,
108,서울,2018-03-26,11,5.3,224,18.1,1453,,,,,,
108,서울,2018-03-27,13.3,7.7,411,20,1549,,,,,,
108,서울,2018-03-28,14,9.4,612,19,1419,,,,,,
108,서울,2018-03-29,15.4,11.8,2358,21.1,1451,,,,,,
108,서울,2018-03-30,14.8,9.8,347,21.9,1457,,,,,,
108,서울,2018-03-31,14,9.3,608,20.1,1358,,,,,,
108,서울,2018-04-01,15.6,11.7,45,18.5,1548,,,,,,
108,서울,2018-04-02,18.4,14.9,548,23.7,1459,,,,,,
108,서울,2018-04-03,17.8,14.9,2302,21.2,1409,2.92,.1,,.1,,.1
108,서울,2018-04-04,13.4,9.5,2356,18.2,1430,6.5,2.5,239,8,148,18.5
108,서울,2018-04-05,7.6,6.7,751,9.5,1,19.67,1,645,3,636,10.5
108,서울,2018-04-06,5.8,3,2400,8.6,1022,5.42,.5,19,2.5,140,6.5
108,서울,2018-04-07,4.2,1.4,224,8.6,1341,2.58,.1,,.2,,.2
108,서울,2018-04-08,3.9,.6,638,7.9,1353,6.5,1,1729,2.5,1711,3
