지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm)
108,서울,2017-09-25,23.4,17.4,625,30.1,1422,,,,,,
108,서울,2017-09-26,25.1,19.4,627,31.4,1447,3.58,0,,0,,0
108,서울,2017-09-27,22.7,19.9,2355,27.3,1505,10.25,.5,243,.5,153,.5
108,서울,2017-09-28,19.2,14.2,2349,25.3,1331,,,,,,
108,서울,2017-09-29,17.4,11.2,625,23.5,1334,,,,,,
108,서울,2017-09-30,20,14.7,637,25.9,1445,,,,,,
108,서울,2017-10-01,18.2,15.5,2256,21.2,1203,10.83,.5,1316,1.1,1300,4
108,서울,2017-10-02,22,15.6,1,29.4,1510,3.5,.5,22,1,9,1.5
108,서울,2017-10-03,17.6,13.4,656,23.6,1411,,,,,,
108,서울,2017-10-04,16.7,10.7,607,24.3,1402,,,,,,
108,서울,2017-10-05,18.7,13.9,531,23.4,1307,,,,,,
108,서울,2017-10-06,18.9,16.2,435,23.3,1103,3.25,.2,,.5,2232,.5
108,서울,2017-10-07,21.9,16.9,618,28.8,1528,1.25,0,,0,,0
108,서울,2017-10-08,23,19.3,648,28.7,1328,,,,,,
108,서울,2017-10-09,22.5,19.8,2344,27.6,1533,.33,0,,0,,0
108,서울,2017-10-10,21.4,18.6,415,24.8,1347,3.42,.2,,.3,2305,.4
108,서울,2017-10-11,15.5,12.2,2347,21.7,1,10.33,2.5,111,6,38,20
108,서울,2017-10-12,11.4,8.8,2351,,,,,,,,
108,서울,2017-10-13,12.8,6.1,629,18.9,1420,,,,,,
108,서울,2017-10-14,14.4,9,649,20.5,1320,,,,,,
108,서울,2017-10-15,15.8,9,625,23,1448,,,,,,
108,서울,2017-10-16,16.6,13.6,2351,22,1439,,,,,,
108,서울,2017-10-17,16.2,9.2,634,23.9,1445,,,,,,
108,서울,2017-10-18,16.5,14.2,1,19.1,1147,7.75,.1,,.1,,.1
108,서울,2017-10-19,17,11.9,708,23.2,1328,,,,,,
108,서울,2017-10-20,17,11.1,645,24.2,1508,,,,,,
108,서울,2017-10-21,17.6,11,714,25.2,1418,,,,,,
108,서울,2017-10-22,16.3,11,644,23.5,1218,,,,,,
108,서울,2017-10-23,13.7,8.6,645,20.6,1424,,,,,,
108,서울,2017-10-24,14.4,9.9,338,20.9,1313,,,,,,
108,서울,2017-10-25,14.4,9.5,651,20.6,1455,,,,,,
108,서울,2017-10-26,14.5,10.7,444,18.1,1355,,,,,,
108,서울,2017-10-27,16.9,11.9,728,24.2,1454,,,,,,
108,서울,2017-10-28,17.2,10.6,642,24.8,1354,,,,,,
108,서울,2017-10-29,11.5,6.3,2350,17.2,1224,,,,,,
108,서울,2017-10-30,7.7,2.5,731,13.2,1534,,,,,,
108,서울,2017-10-31,10.4,3.6,634,16,1524,,,,,,
108,서울,2017-11-01,14.4,11.5,21,18.1,1451,,,,,,
108,서울,2017-11-02,15.5,14,121,18,1215,.92,,,,,1
108,서울,2017-11-03,12.3,6.1,2359,16.6,1358,2.75,,,,,1.5
108,서울,2017-11-04,7.8,4.5,735,13.7,1342,,,,,,
108,서울,2017-11-05,8.4,2.6,719,15.4,1516,,,,,,
108,서울,2017-11-06,11.4,8,1,16.5,1357,,,,,,
108,서울,2017-11-07,14.4,9.2,26,18.4,1438,.08,,,,,0
108,서울,2017-11-08,13.1,6.9,2340,17.2,1303,1.33,,,,,0
108,서울,2017-11-09,9.4,3.7,743,16.8,1449,,,,,,
108,서울,2017-11-10,9.8,5.3,2349,15.9,1156,4.75,,,,,7.5
108,서울,2017-11-11,5.9,2.7,802,10.7,1513,,,,,,
108,서울,2017-11-12,5.3,.3,719,11.4,1536,,,,,,
108,서울,2017-11-13,8.4,3.1,229,11.8,1906,3.67,,,,,4.5
108,서울,2017-11-14,7.5,2.9,2352,11.4,1233,,,,,,
108,서울,2017-11-15,3.2,-1.1,2357,6.5,1149,,,,,,
108,서울,2017-11-16,1,-3.4,726,6.4,1441,,,,,,
108,서울,2017-11-17,3,-1.6,321,5.8,1508,3.5,,,,,0
108,서울,2017-11-18,-2.1,-4.8,2320,2.6,1,,,,,,
108,서울,2017-11-19,-1.6,-6.6,642,3.5,1505,,,,,,
108,서울,2017-11-20,-.4,-3.9,737,4.2,1143,2.75,,,,,0
108,서울,2017-11-21,1.3,-4.2,654,8.1,1515,,,,,,
108,서울,2017-11-22,4.3,.6,2337,10.8,1358,1.5,,,,,.5
108,서울,2017-11-23,.9,-2.5,545,4.7,1523,3.67,,,,,1.2
108,서울,2017-11-24,-.4,-2.5,2253,2.9,1413,2.5,,,,,0
108,서울,2017-11-25,3,-3.3,316,7.3,2134,7.92,,,,,24
108,서울,2017-11-26,3.3,-.3,2357,7.6,1418,,,,,,
108,서울,2017-11-27,2.5,-2.9,736,9.5,1539,,,,,,
108,서울,2017-11-28,6.4,1.3,708,11.2,1311,1.75,,,,,.5
108,서울,2017-11-29,3.2,-1.8,2359,8.1,34,.33,,,,,0
108,서울,2017-11-30,-2.4,-5.2,2351,2.7,1413,,,,,,
108,서울,2017-12-01,-2.2,-7.6,735,3.1,1402,1.08,,,,,0
108,서울,2017-12-02,1.9,-4.6,629,8.1,1440,,,,,,
108,서울,2017-12-03,4.9,3.1,620,8.1,1513,5.7,,,,,4
108,서울,2017-12-04,-1.2,-6.1,2340,4.5,126,1.83,,,,,.1
108,서울,2017-12-05,-4.2,-8.2,808,-.4,1422,2.17,,,,,.1
108,서울,2017-12-06,.2,-4.5,723,6,1410,5.25,,,,,1.2
108,서울,2017-12-07,.7,-3.5,2350,4.6,1355,,,,,,
108,서울,2017-12-08,-3.8,-7.1,806,-.5,1532,,,,,,
108,서울,2017-12-09,-.5,-5.6,710,5.4,1522,,,,,,
108,서울,2017-12-10,1.1,-2.5,2359,6.7,1441,7.5,,,,,4.1
108,서울,2017-12-11,-7,-11,2330,-2.5,1,,,,,,
108,서울,2017-12-12,-9.4,-12.3,750,-5.2,1406,,,,,,
108,서울,2017-12-13,-8.7,-12,602,-4.4,1404,,,,,,
108,서울,2017-12-14,-6.6,-11.2,416,-1.9,1526,,,,,,
108,서울,2017-12-15,-3,-7.5,445,.9,1946,1.25,,,,,0
108,서울,2017-12-16,-5.7,-8.1,2356,-2.6,1,,,,,,
108,서울,2017-12-17,-6.7,-10.8,825,-2.3,1529,,,,,,
108,서울,2017-12-18,-1.6,-5.9,1,3.3,1959,12.5,,,,,3.4
108,서울,2017-12-19,-3.9,-6.5,2359,-1,1,,,,,,
108,서울,2017-12-20,-3.9,-8.5,356,-.1,1452,4.08,,,,,.2
